timestamp,open,high,low,close,volume,bos_bullish
2023-01-01 00:00:00,20000.0,20046.7955259049,19982.04024547409,20024.83570765056,621,
2023-01-01 01:00:00,20024.83570765056,20029.515543260644,20016.179984226954,20017.922492592,587,
2023-01-01 02:00:00,20017.922492592,20037.449146780466,19971.968627936607,19973.66097530742,843,
2023-01-01 03:00:00,19973.66097530742,19998.634254531433,19946.68137796346,19953.05155128381,1715,
2023-01-01 04:00:00,19953.05155128381,19966.15847176587,19951.651581387403,19954.16264261441,1199,
2023-01-01 05:00:00,19954.16264261441,19965.15349791322,19919.090897407732,19932.772996934244,1186,
2023-01-01 06:00:00,19932.772996934244,19962.269923508447,19844.953625479073,19858.956512276513,1146,
2023-01-01 07:00:00,19858.956512276513,19938.421283889493,19857.004964486954,19933.305560178873,887,
2023-01-01 08:00:00,19933.305560178873,19949.624344470925,19932.826572612266,19938.06184939473,1397,
2023-01-01 09:00:00,19938.06184939473,19991.82155732759,19924.85727458254,19971.294566532222,1978,
2023-01-01 10:00:00,19971.294566532222,20033.00691583231,19959.562748305027,20027.805976227075,1911,
2023-01-01 11:00:00,20027.805976227075,20055.81325424623,20012.20393559174,20046.461921963546,1629,
2023-01-01 12:00:00,20046.461921963546,20071.730465201395,20009.896012053745,20023.38863605484,701,
2023-01-01 13:00:00,20023.38863605484,20053.5663204931,20005.451636690505,20026.72149998027,1315,
2023-01-01 14:00:00,20026.72149998027,20079.639504872317,19997.88633924979,20064.01447707154,1219,
2023-01-01 15:00:00,20064.01447707154,20086.434080375664,19955.99455113399,19972.185315105664,1291,
2023-01-01 16:00:00,19972.185315105664,19988.46619760041,19900.623683488353,19904.851410237596,514,
2023-01-01 17:00:00,19904.851410237596,19909.809418409484,19860.352754733005,19860.82184693524,1020,
2023-01-01 18:00:00,19860.82184693524,19860.987510448947,19802.511904066298,19826.975746919943,1092,
2023-01-01 19:00:00,19826.975746919943,19878.899819944447,19803.270480704006,19857.559561361988,878,
2023-01-01 20:00:00,19857.559561361988,19861.03563314774,19821.308164080492,19847.20126685676,1279,
2023-01-01 21:00:00,19847.20126685676,19857.128207602338,19814.12064659893,19816.02739710751,906,
2023-01-01 22:00:00,19816.02739710751,19894.3749478454,19807.78574331781,19876.636014214168,1460,
2023-01-01 23:00:00,19876.636014214168,19949.798660683933,19847.484651352494,19938.31085444132,1142,
2023-01-02 00:00:00,19938.31085444132,19979.50965011538,19923.496986550388,19956.38063471674,892,
2023-01-02 01:00:00,19956.38063471674,20054.602349730612,19953.053910092385,20033.28246304004,1391,
2023-01-02 02:00:00,20033.28246304004,20048.539583774982,19935.117945892685,19962.34494011047,1930,
2023-01-02 03:00:00,19962.34494011047,20032.602042355775,19946.14970737142,20014.46952097744,1040,
2023-01-02 04:00:00,20014.46952097744,20042.360450547716,19949.801229445846,19974.04484083278,1512,
2023-01-02 05:00:00,19974.04484083278,20000.18865853841,19924.84682634658,19948.956988653554,1863,
2023-01-02 06:00:00,19948.956988653554,19978.034070775877,19922.07424965585,19953.810866120955,1754,
2023-01-02 07:00:00,19953.810866120955,20029.447968893975,19945.646898639417,20002.2431156476,1806,
2023-01-02 08:00:00,20002.2431156476,20091.75171415227,20002.034551731667,20065.92979665458,1979,
2023-01-02 09:00:00,20065.92979665458,20081.952479235842,20036.78726397253,20051.332163113297,1748,
2023-01-02 10:00:00,20051.332163113297,20079.619454230673,20024.500349326336,20034.19643728696,1995,
